Levenshtein Distance,Primary Movie,Secondary Movie
14.0,Grumpier Old Men,South Pacific
15.0,Grumpier Old Men,Tall Story
27.0,Grumpier Old Men,:Ensign Pulver
26.0,Grumpier Old Men,Camelot
25.0,Grumpier Old Men,Paint Your Wagon
30.0,Grumpier Old Men,"Accused, sit down"
39.0,Grumpier Old Men,The Girl from Mexico
25.0,Grumpier Old Men,Mexican Spitfire
34.0,Grumpier Old Men,Mexican Spitfire Out West
21.0,Grumpier Old Men,Mexican Spitfire's Baby
31.0,Grumpier Old Men,Mexican Spitfire at Sea
22.0,Grumpier Old Men,Mexican Spitfire Sees a Ghost
33.0,Grumpier Old Men,Mexican Spitfire's Elephant
38.0,Grumpier Old Men,Mexico Spitfire's Blessed Event
22.0,Grumpier Old Men,Casanova in Burlesque
24.0,Grumpier Old Men,The Mummy's Curse
32.0,Grumpier Old Men,Fireman Save My Child
15.0,Grumpier Old Men,The Dybbuk
23.0,Grumpier Old Men,Woman Against Woman
32.0,Grumpier Old Men,Dramatic School
24.0,Grumpier Old Men,Mr.~and Mrs.~North
27.0,Grumpier Old Men,Mr._District Attorney
29.0,Grumpier Old Men,That Wonderful Urge
17.0,Grumpier Old Men,"Mr.~Wong, Detective"
22.0,Grumpier Old Men,Mr.~Wong in Chinatown
25.0,Grumpier Old Men,Tarzan's Revenge
27.0,Grumpier Old Men,"Andalusische N\""achte"
22.0,Grumpier Old Men,"Das M\""adchen Johanna"
30.0,Grumpier Old Men,The Great Victor Herbert
27.0,Grumpier Old Men,Stormy Weather
29.0,Grumpier Old Men,Julie
23.0,Grumpier Old Men,Cry Terror
25.0,Grumpier Old Men,The Secret of my Success
13.0,Grumpier Old Men,Song of Norway
25.0,Grumpier Old Men,"Sing, Bing, Sing"
30.0,Grumpier Old Men,Blind Alley
33.0,Grumpier Old Men,The Lady in Question
22.0,Grumpier Old Men,The Tuttles of Tahiti
18.0,Grumpier Old Men,A Song To Remember
38.0,Grumpier Old Men,Gilda
31.0,Grumpier Old Men,Hans Christian Andersen
30.0,Grumpier Old Men,The Joker is Wild
41.0,Grumpier Old Men,Gulliver's Travels
33.0,Grumpier Old Men,Mr.~Bug goes to Town
27.0,Grumpier Old Men,In Jenen Tagen
17.0,Grumpier Old Men,Rotation
34.0,Grumpier Old Men,Des Teufels General
24.0,Grumpier Old Men,Ludwig II
30.0,Grumpier Old Men,Young Dr.~Kildare
31.0,Grumpier Old Men,On Borrowed Time
23.0,Grumpier Old Men,The Saint in London
31.0,Grumpier Old Men,Sleeping Car to Trieste
18.0,Grumpier Old Men,Weekend With Lulu
17.0,Grumpier Old Men,Volpone
23.0,Grumpier Old Men,Cat People
26.0,Grumpier Old Men,I Walked with a Zombie
39.0,Grumpier Old Men,The Leopard Man
29.0,Grumpier Old Men,Experiment Perilous
26.0,Grumpier Old Men,Out of the Past
33.0,Grumpier Old Men,Berlin Express
35.0,Grumpier Old Men,Curse of the Demon
19.0,Grumpier Old Men,"That's Right, You're Wrong"
26.0,Grumpier Old Men,You'll Find Out
27.0,Grumpier Old Men,The Doughgirls
30.0,Grumpier Old Men,Never Say Goodbye
21.0,Grumpier Old Men,Stallion Road
34.0,Grumpier Old Men,April Showers
31.0,Grumpier Old Men,The Second Woman
21.0,Grumpier Old Men,Two Tickets to Broadway
26.0,Grumpier Old Men,That Hagen Girl
24.0,Grumpier Old Men,The Woman in White
38.0,Grumpier Old Men,Please Murder Me
15.0,Grumpier Old Men,Lost Angel
32.0,Grumpier Old Men,Our Vines Have Tender Grapes
27.0,Grumpier Old Men,Excuse My Dust
24.0,Grumpier Old Men,The 5000 Fingers of Dr.~T
26.0,Grumpier Old Men,Affair with a Stranger
35.0,Grumpier Old Men,These Wilder Years
33.0,Grumpier Old Men,British Intelligence
21.0,Grumpier Old Men,Shadows Over Chinatown
32.0,Grumpier Old Men,Dangerous Money
22.0,Grumpier Old Men,What a Life
24.0,Grumpier Old Men,Blackwell's Island
22.0,Grumpier Old Men,Dark Waters
27.0,Grumpier Old Men,Ramrod
29.0,Grumpier Old Men,House of Wax
8.0,Grumpier Old Men,Tanganyika
18.0,Grumpier Old Men,Monkey on my Back
28.0,Grumpier Old Men,Gold for the Caesars
23.0,Grumpier Old Men,:The East Side Kids
25.0,Grumpier Old Men,The Mummy's Hand
15.0,Grumpier Old Men,Duck Amuck
24.0,Grumpier Old Men,"What's Opera, Doc?"
32.0,Grumpier Old Men,Gay Puree
16.0,Grumpier Old Men,The Phantom Tollbooth
29.0,Grumpier Old Men,My Little Chickadee
21.0,Grumpier Old Men,The Bank Dick
22.0,Grumpier Old Men,Crazy House
24.0,Grumpier Old Men,Beyond the Rockies
14.0,Grumpier Old Men,Major Barbara
33.0,Grumpier Old Men,Caesar and Cleopatra
32.0,Grumpier Old Men,I'm Still Alive
27.0,Grumpier Old Men,The Big Street
26.0,Grumpier Old Men,The Bachelor and the Bobbysoxer
30.0,Grumpier Old Men,All My Sons
23.0,Grumpier Old Men,Dancing in the Dark
27.0,Grumpier Old Men,Three Husbands
31.0,Grumpier Old Men,New Mexico
27.0,Grumpier Old Men,My Name is Julia Ross
18.0,Grumpier Old Men,So Dark the Night
29.0,Grumpier Old Men,The Al Jolson Story
35.0,Grumpier Old Men,The Undercover Man
24.0,Grumpier Old Men,Gun Crazy
21.0,Grumpier Old Men,The Big Combo
32.0,Grumpier Old Men,Terror in a Texas Town
31.0,Grumpier Old Men,L'Eternel Retour
40.0,Grumpier Old Men,Symphonie Pastorale
23.0,Grumpier Old Men,Les Jeux Sont Faits
30.0,Grumpier Old Men,Dieu a besoin des Hommes
24.0,Grumpier Old Men,Le Garcon Sauvage
29.0,Grumpier Old Men,The Moment of Truth
24.0,Grumpier Old Men,Destinees
34.0,Grumpier Old Men,Notre Dame de Paris
36.0,Grumpier Old Men,Inspector Maigret
28.0,Grumpier Old Men,Le Soleil des Voyous
30.0,Grumpier Old Men,Charlie Chan at the Wax Museum
28.0,Grumpier Old Men,Calling All Husbands
29.0,Grumpier Old Men,Citizen Kane
24.0,Grumpier Old Men,The Magnificent Ambersons
28.0,Grumpier Old Men,It's all True
21.0,Grumpier Old Men,The Stranger
26.0,Grumpier Old Men,The Lady From Shanghai
17.0,Grumpier Old Men,Othello
29.0,Grumpier Old Men,Confidential Report
19.0,Grumpier Old Men,A Touch of Evil
24.0,Grumpier Old Men,The Trial
35.0,Grumpier Old Men,Chimes at Midnight
24.0,Grumpier Old Men,The Immortal Story
25.0,Grumpier Old Men,The Deep
23.0,Grumpier Old Men,June Night
36.0,Grumpier Old Men,The Great McGinty
30.0,Grumpier Old Men,Christmas in July
24.0,Grumpier Old Men,Sullivan's Travels
36.0,Grumpier Old Men,The Lady Eve
28.0,Grumpier Old Men,The Palm Beach Story
44.0,Grumpier Old Men,The Great Moment
27.0,Grumpier Old Men,The Miracle of Morgan's Creek
25.0,Grumpier Old Men,Hail the Conquering Hero
28.0,Grumpier Old Men,Mad Wednesday
27.0,Grumpier Old Men,The Sin of Harold Diddlebook
18.0,Grumpier Old Men,Unfaithfully Yours
33.0,Grumpier Old Men,The Beautiful Blonde from Bashful Bend
31.0,Grumpier Old Men,Les Carnets de Major Thompson
8.0,Grumpier Old Men,La Chiavi
26.0,Grumpier Old Men,Mirandi
16.0,Grumpier Old Men,Capriccio
26.0,Grumpier Old Men,Chi Lavora \'e Perduta
24.0,Grumpier Old Men,Col Curve in Gula
25.0,Grumpier Old Men,Il Disco Volante
29.0,Grumpier Old Men,NerosuBianco
18.0,Grumpier Old Men,L'Urlo
14.0,Grumpier Old Men,:Salon-Kitty
15.0,Grumpier Old Men,La Vacanca
16.0,Grumpier Old Men,:Caligula
18.0,Grumpier Old Men,Action
24.0,Grumpier Old Men,Snack Bar Budapest
9.0,Grumpier Old Men,Scandal
26.0,Grumpier Old Men,Los Bordeles de Paprika
39.0,Grumpier Old Men,Julieta y Romeo
30.0,Grumpier Old Men,The Captive Heart
28.0,Grumpier Old Men,The Blue Lamp
25.0,Grumpier Old Men,I Believe in You
15.0,Grumpier Old Men,Who Done It
33.0,Grumpier Old Men,Sapphire
31.0,Grumpier Old Men,The League of Gentlemen
20.0,Grumpier Old Men,All Night Long
9.0,Grumpier Old Men,Victim
38.0,Grumpier Old Men,Masquerade
23.0,Grumpier Old Men,The Man who Haunted Himself
36.0,Grumpier Old Men,The Bullfighter and The Lady
19.0,Grumpier Old Men,East of Sumatra
31.0,Grumpier Old Men,The Tall T
33.0,Grumpier Old Men,Buchanan Rides Alone
29.0,Grumpier Old Men,The Rise and Fall of Legs Diamond
18.0,Grumpier Old Men,Arruza
19.0,Grumpier Old Men,Dumbo
32.0,Grumpier Old Men,Perr Gynt
28.0,Grumpier Old Men,Julius Ceasar
22.0,Grumpier Old Men,Talk About a Stranger
29.0,Grumpier Old Men,Twelve to the Moon
29.0,Grumpier Old Men,They Saved Hitler's Brain
21.0,Grumpier Old Men,Flying Tigers
15.0,Grumpier Old Men,Love Happy
30.0,Grumpier Old Men,Sudden Fear
31.0,Grumpier Old Men,The Opposite Sex
23.0,Grumpier Old Men,The Story of Esther Costello
24.0,Grumpier Old Men,Happy Anniversary
28.0,Grumpier Old Men,Midnight Lace
28.0,Grumpier Old Men,Lonely Are the Brave
30.0,Grumpier Old Men,:Executive Action
20.0,Grumpier Old Men,Anchors Aweigh
25.0,Grumpier Old Men,The Harvey Girls
29.0,Grumpier Old Men,Annie Get Your Gun
0.0,Grumpier Old Men,Showboat
21.0,Grumpier Old Men,Sacaramouche
29.0,Grumpier Old Men,Kiss Me Kate
28.0,Grumpier Old Men,Jeanne Eagles
25.0,Grumpier Old Men,Pal Joey
27.0,Grumpier Old Men,Bye Bye Birdie
26.0,Grumpier Old Men,Half a Sixpence
26.0,Grumpier Old Men,The Gay Sisters
14.0,Grumpier Old Men,"Now, Voyager"
27.0,Grumpier Old Men,The Adventures of Mark Twain
31.0,Grumpier Old Men,Rhapsody in Blue
24.0,Grumpier Old Men,Deception
26.0,Grumpier Old Men,The Voice of the Turtle
40.0,Grumpier Old Men,The Glass Menagerie
28.0,Grumpier Old Men,Another Man's Poison
34.0,Grumpier Old Men,The Brave One
33.0,Grumpier Old Men,Marjorie Morningstar
30.0,Grumpier Old Men,The Miracle
22.0,Grumpier Old Men,:Born Again
25.0,Grumpier Old Men,This is our Life
18.0,Grumpier Old Men,Across the Pacific
25.0,Grumpier Old Men,The Battle of San Pietro
33.0,Grumpier Old Men,The Treasure of the Sierra Madre
16.0,Grumpier Old Men,Key Largo
29.0,Grumpier Old Men,The Asphalt Jungle
28.0,Grumpier Old Men,Red Badge of Courage
30.0,Grumpier Old Men,The African Queen
27.0,Grumpier Old Men,Beat the Devil
27.0,Grumpier Old Men,The Unforgiven
22.0,Grumpier Old Men,The Misfits
29.0,Grumpier Old Men,Freud
32.0,Grumpier Old Men,The List of Adrian Messenger
26.0,Grumpier Old Men,The Night of the Iguana
32.0,Grumpier Old Men,The Bible
28.0,Grumpier Old Men,Casino Royale
28.0,Grumpier Old Men,Reflections in a Golden Eye
29.0,Grumpier Old Men,A Walk with Love and Death
27.0,Grumpier Old Men,The Life and Times of Judge Roy Bean
8.0,Grumpier Old Men,Fat City
34.0,Grumpier Old Men,The Man Who Would Be King
38.0,Grumpier Old Men,Wise Blood
17.0,Grumpier Old Men,:Victory
19.0,Grumpier Old Men,Annie
30.0,Grumpier Old Men,Under the Volcano
27.0,Grumpier Old Men,Prizzi's Honor
25.0,Grumpier Old Men,The Dead
29.0,Grumpier Old Men,Quax der Bruchpilot
19.0,Grumpier Old Men,I think often of Piroschka
17.0,Grumpier Old Men,The Confessions of Felix Krull
38.0,Grumpier Old Men,Wir Wunderkinder
29.0,Grumpier Old Men,When We are Married
32.0,Grumpier Old Men,Great Day
30.0,Grumpier Old Men,Silent Dust
29.0,Grumpier Old Men,Eight O'Clock Walk
39.0,Grumpier Old Men,Pimpernel Smith
28.0,Grumpier Old Men,The First of the Few
33.0,Grumpier Old Men,The Gentle Sex
30.0,Grumpier Old Men,Ferry Pilot
24.0,Grumpier Old Men,Western Approaches
18.0,Grumpier Old Men,Shadow on the Wall
26.0,Grumpier Old Men,White Corridors
29.0,Grumpier Old Men,Something Money Can't Buy
24.0,Grumpier Old Men,The Feminine Touch
34.0,Grumpier Old Men,Virgin Island
29.0,Grumpier Old Men,Don't Talk to Strange Men
22.0,Grumpier Old Men,Seventy Deadly Pills
24.0,Grumpier Old Men,Heavenly Creatures
26.0,Grumpier Old Men,The Frighteners
23.0,Grumpier Old Men,Un Colpa di Pistola
26.0,Grumpier Old Men,Two Cents worth of Hope
21.0,Grumpier Old Men,The Gay City
24.0,Grumpier Old Men,Night Plane from Chungking
27.0,Grumpier Old Men,Rainbow Island
31.0,Grumpier Old Men,The Man from Half Moon Street
22.0,Grumpier Old Men,Desert Rats
29.0,Grumpier Old Men,The Lady in the Iron Mask
25.0,Grumpier Old Men,Among the Living
24.0,Grumpier Old Men,:Along Came Jones
31.0,Grumpier Old Men,Blue Skies
17.0,Grumpier Old Men,Smash-Up
19.0,Grumpier Old Men,Tulsa
19.0,Grumpier Old Men,Chain Lightning
31.0,Grumpier Old Men,I died a Thousand Times
27.0,Grumpier Old Men,Hitler
27.0,Grumpier Old Men,Fighting Father Dunne
23.0,Grumpier Old Men,The Window
20.0,Grumpier Old Men,Johnny Allegro
26.0,Grumpier Old Men,The White Tower
33.0,Grumpier Old Men,Gambling House
24.0,Grumpier Old Men,Time Bomb
21.0,Grumpier Old Men,Son of Sinbad
27.0,Grumpier Old Men,I Bambini ci Guardino
15.0,Grumpier Old Men,Sciusci\`a
26.0,Grumpier Old Men,Bicycle Thieves
38.0,Grumpier Old Men,Miracle in Milan
32.0,Grumpier Old Men,Umberto D
35.0,Grumpier Old Men,The Gold of Naples
31.0,Grumpier Old Men,Stazione Termini
17.0,Grumpier Old Men,The Roof
24.0,Grumpier Old Men,Two Women
27.0,Grumpier Old Men,"Yesterday, Today and Tomorrow"
37.0,Grumpier Old Men,Marriage Italian Style
28.0,Grumpier Old Men,After the Fox
29.0,Grumpier Old Men,The Garden of the Finzi-Continis
27.0,Grumpier Old Men,Mr.~District Attorney
36.0,Grumpier Old Men,Madame San G\^ene
32.0,Grumpier Old Men,The Moon and Sixpence
24.0,Grumpier Old Men,The Picture of Dorian Gray
26.0,Grumpier Old Men,Pandora and the Flying Dutchman
9.0,Grumpier Old Men,Saadia
23.0,Grumpier Old Men,The Furies
23.0,Grumpier Old Men,The Reign of Terror
28.0,Grumpier Old Men,Winchester 73
24.0,Grumpier Old Men,Bend of the River
27.0,Grumpier Old Men,The Naked Spur
32.0,Grumpier Old Men,The Glenn Miller Story
27.0,Grumpier Old Men,Strategic Air Command
22.0,Grumpier Old Men,The Man from Laramie
33.0,Grumpier Old Men,Serenade
22.0,Grumpier Old Men,:Men in War
29.0,Grumpier Old Men,:God's Little Acre
19.0,Grumpier Old Men,Man of the West
18.0,Grumpier Old Men,El Cid
27.0,Grumpier Old Men,The Fall of the Roman Empire
35.0,Grumpier Old Men,The Road to Heaven
10.0,Grumpier Old Men,Hets
34.0,Grumpier Old Men,Only a Mother
31.0,Grumpier Old Men,Miss Julie
8.0,Grumpier Old Men,Barabbas
31.0,Grumpier Old Men,Karin Mansdotter
31.0,Grumpier Old Men,Wild Birds
32.0,Grumpier Old Men,The Judge
31.0,Grumpier Old Men,The Island
34.0,Grumpier Old Men,San Demetrio London
21.0,Grumpier Old Men,Scott of The Antarctic
41.0,Grumpier Old Men,The Cruel Sea
24.0,Grumpier Old Men,In Which We Serve
21.0,Grumpier Old Men,Blithe Spirit
32.0,Grumpier Old Men,Brief Encounter
29.0,Grumpier Old Men,Passionate Friends
30.0,Grumpier Old Men,The Sound Barrier
38.0,Grumpier Old Men,Summertime
27.0,Grumpier Old Men,The Bridge on the River Kwai
24.0,Grumpier Old Men,Lawrence of Arabia
15.0,Grumpier Old Men,Dr.~Zhivago
19.0,Grumpier Old Men,Ryan's Daughter
24.0,Grumpier Old Men,A Passage to India
24.0,Grumpier Old Men,The Seventh Cross
31.0,Grumpier Old Men,Die Gezeichneten
43.0,Grumpier Old Men,The Men
24.0,Grumpier Old Men,High Noon
34.0,Grumpier Old Men,The Member of the Wedding
43.0,Grumpier Old Men,From Here to Eternity
16.0,Grumpier Old Men,Oklahoma!
19.0,Grumpier Old Men,The Nun's Story
27.0,Grumpier Old Men,The Sundowners
29.0,Grumpier Old Men,Behold a Pale Horse
32.0,Grumpier Old Men,A Man for All Seasons
18.0,Grumpier Old Men,Day of the Jackal
19.0,Grumpier Old Men,Julia
25.0,Grumpier Old Men,"The Real Julia, Muriel Gardiner's Story"
33.0,Grumpier Old Men,Five Days One Summer
25.0,Grumpier Old Men,Martin Roumagnac
27.0,Grumpier Old Men,"We, The Living"
23.0,Grumpier Old Men,Le Corbeau
34.0,Grumpier Old Men,Quai des Orf\`evres
21.0,Grumpier Old Men,L'Assassin habite au 21
14.0,Grumpier Old Men,Jenny Lamour
19.0,Grumpier Old Men,Manon
32.0,Grumpier Old Men,Le Salaire de la Peur
26.0,Grumpier Old Men,Les Diaboliques
26.0,Grumpier Old Men,la Myst\`ere de Picasso
25.0,Grumpier Old Men,Sherlock Holmes and the Voice of Terror
26.0,Grumpier Old Men,Dick Tracy vs. Cueball
28.0,Grumpier Old Men,Dick Tracy's Dilemma
24.0,Grumpier Old Men,Dick Tracy Meets Gruesome
37.0,Grumpier Old Men,Brute Force
27.0,Grumpier Old Men,The Naked City
29.0,Grumpier Old Men,Night and the City
9.0,Grumpier Old Men,Rififi
32.0,Grumpier Old Men,He Who Must Die
32.0,Grumpier Old Men,Never on Sunday
17.0,Grumpier Old Men,Phaedra
17.0,Grumpier Old Men,Topkapi
29.0,Grumpier Old Men,A Dream of Passion
27.0,Grumpier Old Men,:Circle of Two
30.0,Grumpier Old Men,:Killer Bat
22.0,Grumpier Old Men,The Naughty Nineties
20.0,Grumpier Old Men,Abbott and Costello Lost in Alaska
20.0,Grumpier Old Men,The Seven Faces of Dr.Lao
41.0,Grumpier Old Men,Goupi Mains Rouges
8.0,Grumpier Old Men,Falbalas
27.0,Grumpier Old Men,Antoine et Antoinette
28.0,Grumpier Old Men,Rendevouz de Julliet
34.0,Grumpier Old Men,Edouard et Caroline
30.0,Grumpier Old Men,Casque d'Or
35.0,Grumpier Old Men,Rue de l'Estrapade
22.0,Grumpier Old Men,Touchez pas au Grisbi
19.0,Grumpier Old Men,Montparnasse 19
17.0,Grumpier Old Men,Ali Baba
17.0,Grumpier Old Men,Le Trou
26.0,Grumpier Old Men,The Man in Grey
15.0,Grumpier Old Men,Love Story
29.0,Grumpier Old Men,:Wicked Lady
22.0,Grumpier Old Men,A Man about the House
24.0,Grumpier Old Men,Miss Tulip Stays the Night
23.0,Grumpier Old Men,Ossessione
27.0,Grumpier Old Men,La Terra Trema
16.0,Grumpier Old Men,Bellisima
19.0,Grumpier Old Men,Senso
21.0,Grumpier Old Men,Rocco and His Brothers
14.0,Grumpier Old Men,Boccaccio 70
21.0,Grumpier Old Men,Il gattopardo
23.0,Grumpier Old Men,The Damned
32.0,Grumpier Old Men,Death in Venice
24.0,Grumpier Old Men,Conversation Piece
29.0,Grumpier Old Men,The Innocent
29.0,Grumpier Old Men,Crime Doctor
31.0,Grumpier Old Men,Crime Doctor's Strangest Case
17.0,Grumpier Old Men,Shadows in the Night
32.0,Grumpier Old Men,Crime Doctor's Courage
32.0,Grumpier Old Men,Crime Doctor's Warning
37.0,Grumpier Old Men,Crime Doctor's Manhunt
31.0,Grumpier Old Men,Just Before Dawn
29.0,Grumpier Old Men,the Millerson Case
26.0,Grumpier Old Men,The Web
38.0,Grumpier Old Men,Crime Doctor's Gamble
24.0,Grumpier Old Men,Another Part of the Forest
25.0,Grumpier Old Men,An Act of Murder
28.0,Grumpier Old Men,Crime Doctor's Diary
29.0,Grumpier Old Men,Cyrano de Bergerac
22.0,Grumpier Old Men,I can get it for you Wholesale
22.0,Grumpier Old Men,Pillow Talk
29.0,Grumpier Old Men,"Move Over, Darling"
28.0,Grumpier Old Men,A Very Special Favor
33.0,Grumpier Old Men,The Impossible Years
22.0,Grumpier Old Men,All Through the Night
29.0,Grumpier Old Men,The Hard Way
35.0,Grumpier Old Men,Old Acquaintenance
19.0,Grumpier Old Men,Mr.~Skeffington
24.0,Grumpier Old Men,The Adventures of Don Juan
26.0,Grumpier Old Men,The Hasty Heart
28.0,Grumpier Old Men,The Damned Don't Cry
35.0,Grumpier Old Men,Bowery at Midnight
19.0,Grumpier Old Men,Sugata Sanshiro
24.0,Grumpier Old Men,The Most Beautiful
23.0,Grumpier Old Men,The Men Who Tread on the Tiger's Tail
30.0,Grumpier Old Men,No Regrets for Our Youth
28.0,Grumpier Old Men,One Wonderful Sunday
34.0,Grumpier Old Men,Drunken Angel
38.0,Grumpier Old Men,Quiet Duel
16.0,Grumpier Old Men,Stray Dog
17.0,Grumpier Old Men,Rashomon
9.0,Grumpier Old Men,Ugetsu
19.0,Grumpier Old Men,Ikiru
17.0,Grumpier Old Men,Shichinin no Samurai
30.0,Grumpier Old Men,Record of a Living Being
32.0,Grumpier Old Men,Throne of Blood
25.0,Grumpier Old Men,The Lower Depths
29.0,Grumpier Old Men,The Hidden Fortress
29.0,Grumpier Old Men,The Bad Sleep Well
9.0,Grumpier Old Men,Yojimbo
17.0,Grumpier Old Men,Sanjuro
29.0,Grumpier Old Men,High and Low
32.0,Grumpier Old Men,Red Beard
31.0,Grumpier Old Men,Dodeskaden
19.0,Grumpier Old Men,"Tora, Tora, Tora"
30.0,Grumpier Old Men,Derzu Uzala
8.0,Grumpier Old Men,Kagemusha
11.0,Grumpier Old Men,Ran
27.0,Grumpier Old Men,Akira Kurosawa Dreams
24.0,Grumpier Old Men,Rhapsody in August
8.0,Grumpier Old Men,Madadayo
34.0,Grumpier Old Men,Easter Parade
20.0,Grumpier Old Men,The Barkleys of Broadway
20.0,Grumpier Old Men,Lili
29.0,Grumpier Old Men,Dangerous when Wet
26.0,Grumpier Old Men,The Tender Trap
21.0,Grumpier Old Men,High Society
29.0,Grumpier Old Men,Ask any Girl
19.0,Grumpier Old Men,Please Dont Eat the Daisies
29.0,Grumpier Old Men,The Unsinkable Molly Brown
19.0,Grumpier Old Men,"Walk, Don't Run"
25.0,Grumpier Old Men,Millions Like Us
23.0,Grumpier Old Men,2000 Women
22.0,Grumpier Old Men,I see a Dark Stranger
19.0,Grumpier Old Men,Captain Boycott
32.0,Grumpier Old Men,The Blue Lagoon
27.0,Grumpier Old Men,The Happiest Day of Your Life
23.0,Grumpier Old Men,The Belles of St.~Trinian's
43.0,Grumpier Old Men,Geordie
26.0,Grumpier Old Men,The Bridal Path
17.0,Grumpier Old Men,Joey Boy
26.0,Grumpier Old Men,The Great St.~Trinian's Tarin Robbery
31.0,Grumpier Old Men,Lassie Come Home
30.0,Grumpier Old Men,Courage of Lassie
30.0,Grumpier Old Men,The Hills of Home
36.0,Grumpier Old Men,The Secret Garden
38.0,Grumpier Old Men,Forbidden Planet
21.0,Grumpier Old Men,Non Mi Muovo!
28.0,Grumpier Old Men,The Mating of Millie
22.0,Grumpier Old Men,Belles on their Toes
28.0,Grumpier Old Men,The President's Lady
24.0,Grumpier Old Men,Journey to the Center of the Earth
29.0,Grumpier Old Men,:Where the Boys Are
25.0,Grumpier Old Men,The Wonderful World of the Brothers Grimm
44.0,Grumpier Old Men,Come Fly With Me
19.0,Grumpier Old Men,Honeymoon Hotel
29.0,Grumpier Old Men,Genghis Kahn
27.0,Grumpier Old Men,Murderers' Row
31.0,Grumpier Old Men,My Friend Flicka
27.0,Grumpier Old Men,Thunderhead --- Son of Flicka
32.0,Grumpier Old Men,Tarzan's Hidden Jungle
24.0,Grumpier Old Men,Watch on the Rhine
35.0,Grumpier Old Men,Confidential Agent
29.0,Grumpier Old Men,The Silent Village
23.0,Grumpier Old Men,A Diary for Timothy
24.0,Grumpier Old Men,The Seventh Victim
20.0,Grumpier Old Men,The Ghost Ship
18.0,Grumpier Old Men,Bedlam
25.0,Grumpier Old Men,Isle of the Dead
33.0,Grumpier Old Men,Champion
20.0,Grumpier Old Men,Bright Victory
26.0,Grumpier Old Men,The Bridges at Toko-Ri
0.0,Grumpier Old Men,Phffft
29.0,Grumpier Old Men,Peyton Place
19.0,Grumpier Old Men,Inn of the Sixth Happiness
24.0,Grumpier Old Men,The Prize
18.0,Grumpier Old Men,Von Ryan's Express
23.0,Grumpier Old Men,Valley of the Dolls
33.0,Grumpier Old Men,"Happy Birthday, Wanda June"
23.0,Grumpier Old Men,Earthquake
26.0,Grumpier Old Men,Vautrin
41.0,Grumpier Old Men,Capricorn One
26.0,Grumpier Old Men,:Hanover Street
25.0,Grumpier Old Men,:Outland
0.0,Grumpier Old Men,2010
27.0,Grumpier Old Men,Running Scared
25.0,Grumpier Old Men,Presidio
34.0,Grumpier Old Men,Narrow Margin
23.0,Grumpier Old Men,Stay Tuned
25.0,Grumpier Old Men,The Star Chamber
24.0,Grumpier Old Men,The Quest
25.0,Grumpier Old Men,Time Cop
24.0,Grumpier Old Men,The Relic
31.0,Grumpier Old Men,Bataille du Rail
32.0,Grumpier Old Men,Au del\`a des Grilles
24.0,Grumpier Old Men,Les Jeux Interdits
33.0,Grumpier Old Men,Gervaise
24.0,Grumpier Old Men,Is Paris Burning?
31.0,Grumpier Old Men,L'Anges du Peche
27.0,Grumpier Old Men,Les Dames du Bois du Bologne
30.0,Grumpier Old Men,Journal d'un Cur\'e de Campagne
15.0,Grumpier Old Men,Pickpocket
25.0,Grumpier Old Men,The Trial of Joan of Arc
22.0,Grumpier Old Men,Un Condamn\'e \`a Mort s'est Echapp\'e
22.0,Grumpier Old Men,"Au Hazard, Balthazar"
24.0,Grumpier Old Men,Mouchette
26.0,Grumpier Old Men,Une Femme Douce
35.0,Grumpier Old Men,Quatre Nuits d'un Reveur
26.0,Grumpier Old Men,Lancelot du Lac
33.0,Grumpier Old Men,L'Diable probalement
25.0,Grumpier Old Men,L'Argent
28.0,Grumpier Old Men,Waterloo Road
23.0,Grumpier Old Men,The Rake's Progress
38.0,Grumpier Old Men,Green for Danger
22.0,Grumpier Old Men,I See A Dark Stranger
21.0,Grumpier Old Men,State Secret
24.0,Grumpier Old Men,Only Two Can Play
27.0,Grumpier Old Men,The Great St.~Trinians Train Robbery
13.0,Grumpier Old Men,:Endless Night
19.0,Grumpier Old Men,Mr.~Drake's Duck
19.0,Grumpier Old Men,The Runaway Bus
34.0,Grumpier Old Men,The Quatermass Experiment
28.0,Grumpier Old Men,Quatermass II
28.0,Grumpier Old Men,:Up the Creek
27.0,Grumpier Old Men,Expresso Bongo
9.0,Grumpier Old Men,Jigsaw
24.0,Grumpier Old Men,The Beauty Jungle
30.0,Grumpier Old Men,When Dinosaurs Ruled The Earth
25.0,Grumpier Old Men,Cabin in the Sky
38.0,Grumpier Old Men,Ziegfeld Follies
29.0,Grumpier Old Men,Meet Me in St.Louis
24.0,Grumpier Old Men,The Clock
29.0,Grumpier Old Men,Father of the Bride
28.0,Grumpier Old Men,An American in Paris
24.0,Grumpier Old Men,The Bad and the Beautiful
33.0,Grumpier Old Men,The Band Wagon
32.0,Grumpier Old Men,Brigadoon
28.0,Grumpier Old Men,Lust for Life
31.0,Grumpier Old Men,The Reluctant Debutante
20.0,Grumpier Old Men,Gigi
31.0,Grumpier Old Men,"Goodbye, Charlie"
20.0,Grumpier Old Men,On A Clear Day You Can See Forever
31.0,Grumpier Old Men,A Matter of Time
17.0,Grumpier Old Men,Macabre
27.0,Grumpier Old Men,House on Haunted Hill
30.0,Grumpier Old Men,The Tingler
24.0,Grumpier Old Men,Homicidal
21.0,Grumpier Old Men,Strait-Jacket
